bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action3	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPropertyOptionGroup  [CONTEXT]  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  [BUGGY]  requiredOptions.clear();  [BUGGY]  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	296	296	9	add	requiredOptions.clear();	updateRequiredOptions(opt);  	compilable	  [FE]  AssertionFailedError  testPropertyOptionGroup	19	9
454	[BUG]  [BUGGY]    if(opt.hasArg())  {  if(opt.getArguments().length  ==  0)  {  throw  new  RuntimeException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [BUGGY]    if(opt.hasArg())  {  if(opt.getArguments().length  ==  0)  {  throw  new  RuntimeException( " ");  }  [BUGGY]  if  (opt.hasArg())    {  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	272	273	9	replace	    if(opt.hasArg())  {  if(opt.getArguments().length  ==  0)  {  throw  new  RuntimeException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
481	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  [BUGGY]    requiredOptions.remove(opt.getKey());  [BUGGY]  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	296	296	9	add	    requiredOptions.remove(opt.getKey());		compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	20	9
482	[BUG]  [BUGGY]    requiredOptions.remove(opt.getKey());  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  [BUGGY]    requiredOptions.remove(opt.getKey());  [BUGGY]  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	296	296	9	replace	    requiredOptions.remove(opt.getKey());		compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	20	9	add
484	[BUG]  [BUGGY]    e.removeOption(opt);  [CE]  cannot  find  symbol  [CONTEXT]  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  [BUGGY]    e.removeOption(opt);  [BUGGY]  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	296	296	9	replace	    e.removeOption(opt);		non-compiled	[CE]  cannot  find  symbol	20	None	add
485	[BUG]  [BUGGY]    processOption(e,  opt);  [CE]  method  processOption  in  class  Parser  cannot  be  applied  to  given  types;  [CONTEXT]  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  [BUGGY]    processOption(e,  opt);  [BUGGY]  updateRequiredOptions(opt);  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	296	296	9	replace	    processOption(e,  opt);		non-compiled	[CE]  method  processOption  in  class  Parser  cannot  be  applied  to  given  types;	20	None	add
513	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);      [BUGGY]  String  value  =  properties!=  null?  properties.getProperty(option):  properties.getProperty(option);  [BUGGY]    if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	270	270	9	add	String  value  =  properties!=  null?  properties.getProperty(option):  properties.getProperty(option);	String  value  =  properties.getProperty(option);  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	3	9
514	[BUG]  [BUGGY]  String  value  =  properties!=  null?  properties.getProperty(option):  properties.getProperty(option);  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);      [BUGGY]  String  value  =  properties!=  null?  properties.getProperty(option):  properties.getProperty(option);  [BUGGY]    if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	270	270	9	replace	String  value  =  properties!=  null?  properties.getProperty(option):  properties.getProperty(option);	String  value  =  properties.getProperty(option);  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	3	9	replace
514	[BUG]  [BUGGY]  String  value  =  properties!=  null?  properties.getProperty(option):  properties.get(option);  [CE]  incompatible  types  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);      [BUGGY]  String  value  =  properties!=  null?  properties.getProperty(option):  properties.get(option);  [BUGGY]    if  (opt.hasArg())  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	270	270	9	replace	String  value  =  properties!=  null?  properties.getProperty(option):  properties.get(option);	String  value  =  properties.getProperty(option);  	non-compiled	[CE]  incompatible  types	3	None	replace
541	[BUG]  [BUGGY]    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "2 ".equalsIgnore  [CE]  [CONTEXT]  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  }  }  }  [BUGGY]    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "2 ".equalsIgnore  [BUGGY]  else  if  (!( "yes ".equalsIgnoreCase(value)      ||   "true ".equalsIgnoreCase(value)            ||   "1 ".equalsIgnoreCase(value)))  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  updateRequiredOptions(opt);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.4216370213557839	286	288	9	replace	    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "2 ".equalsIgnore		non-compiled	[CE]  	16	None	add
542	[BUG]  [BUGGY]    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "0 ".equalsIgnoreCase(value)|| "1 ".equalsIgnore  [CE]  [CONTEXT]  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  }  }  }  [BUGGY]    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "0 ".equalsIgnoreCase(value)|| "1 ".equalsIgnore  [BUGGY]  else  if  (!( "yes ".equalsIgnoreCase(value)      ||   "true ".equalsIgnoreCase(value)            ||   "1 ".equalsIgnoreCase(value)))  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  updateRequiredOptions(opt);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.4216370213557839	286	288	9	replace	    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "0 ".equalsIgnoreCase(value)|| "1 ".equalsIgnore		non-compiled	[CE]  	16	None	add
543	[BUG]  [BUGGY]    if(option.getValueType()  ==  String.valueOf(value))  {  String  value  =  opt.getValueType();  if(value!=  null)  {  cmd.addOption(value);  }  [CE]  illegal  start  of  expression  [CONTEXT]  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  }  }  }  [BUGGY]    if(option.getValueType()  ==  String.valueOf(value))  {  String  value  =  opt.getValueType();  if(value!=  null)  {  cmd.addOption(value);  }  [BUGGY]  else  if  (!( "yes ".equalsIgnoreCase(value)      ||   "true ".equalsIgnoreCase(value)            ||   "1 ".equalsIgnoreCase(value)))  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  updateRequiredOptions(opt);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.4216370213557839	286	288	9	replace	    if(option.getValueType()  ==  String.valueOf(value))  {  String  value  =  opt.getValueType();  if(value!=  null)  {  cmd.addOption(value);  }		non-compiled	[CE]  illegal  start  of  expression	16	None	add
544	[BUG]  [BUGGY]    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "0 ".equalsIgnore  [CE]  [CONTEXT]  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  }  }  }  [BUGGY]    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "0 ".equalsIgnore  [BUGGY]  else  if  (!( "yes ".equalsIgnoreCase(value)      ||   "true ".equalsIgnoreCase(value)            ||   "1 ".equalsIgnoreCase(value)))  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  updateRequiredOptions(opt);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.4216370213557839	286	288	9	replace	    if(option.getValue()  ==  null)  {  String  value  =  opt.getValue();  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "0 ".equalsIgnore		non-compiled	[CE]  	16	None	add
545	[BUG]  [BUGGY]    if(value  ==  null)  {  String  value  =  new  String(value);  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "2 ".equalsIgnoreCase(value))  [CE]  [CONTEXT]  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  }  }  }  [BUGGY]    if(value  ==  null)  {  String  value  =  new  String(value);  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "2 ".equalsIgnoreCase(value))  [BUGGY]  else  if  (!( "yes ".equalsIgnoreCase(value)      ||   "true ".equalsIgnoreCase(value)            ||   "1 ".equalsIgnoreCase(value)))  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  updateRequiredOptions(opt);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.4216370213557839	286	288	9	replace	    if(value  ==  null)  {  String  value  =  new  String(value);  if(value.equalsIgnoreCase(value)|| "1 ".equalsIgnoreCase(value)|| "2 ".equalsIgnoreCase(value))		non-compiled	[CE]  	16	None	add
572	[BUG]  [BUGGY]    properties  =  properties.values();  [CE]  incompatible  types  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  [BUGGY]    properties  =  properties.values();  [BUGGY]  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	259	260	9	replace	    properties  =  properties.values();		non-compiled	[CE]  incompatible  types	10	None	add
573	[BUG]  [BUGGY]    properties  =  properties.toArray(new  Property(value));  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  [BUGGY]    properties  =  properties.toArray(new  Property(value));  [BUGGY]  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	259	260	9	replace	    properties  =  properties.toArray(new  Property(value));		non-compiled	[CE]  cannot  find  symbol	10	None	add
574	[BUG]  [BUGGY]    properties.add(new  Property(properties));  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  [BUGGY]    properties.add(new  Property(properties));  [BUGGY]  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	259	260	9	replace	    properties.add(new  Property(properties));		non-compiled	[CE]  cannot  find  symbol	10	None	add
575	[BUG]  [BUGGY]    cmd.addArg(properties);  [CE]  method  addArg  in  class  CommandLine  cannot  be  applied  to  given  types;  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  [BUGGY]    cmd.addArg(properties);  [BUGGY]  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	259	260	9	replace	    cmd.addArg(properties);		non-compiled	[CE]  method  addArg  in  class  CommandLine  cannot  be  applied  to  given  types;	10	None	add
