bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  [BUGGY]  if(index  >=  0)  {  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	334	334	4	add	if(index  >=  0)  {	if  (index  <  0)  {  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	11	4
424	[BUG]  [BUGGY]  Iterator  <  DefaultKeyedValues>  rowData  =(DefaultKeyedValues)iterator.next();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]  Iterator  <  DefaultKeyedValues>  rowData  =(DefaultKeyedValues)iterator.next();  [BUGGY]  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	Iterator  <  DefaultKeyedValues>  rowData  =(DefaultKeyedValues)iterator.next();	DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  	non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	23	None	replace
452	[BUG]  [BUGGY]  while(iterator.hasNext()  &&  columnKey.equals(iterator.getValue()))  {  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  [BUGGY]  while(iterator.hasNext()  &&  columnKey.equals(iterator.getValue()))  {  [BUGGY]  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	456	456	4	replace	while(iterator.hasNext()  &&  columnKey.equals(iterator.getValue()))  {	while  (iterator.hasNext())  {  	non-compiled	[CE]  cannot  find  symbol	21	None	replace
453	[BUG]  [BUGGY]  while(iterator.hasNext()  &&  rowData.contains(columnKey))  {  [CE]  cannot  find  symbol  rowData  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  [BUGGY]  while(iterator.hasNext()  &&  rowData.contains(columnKey))  {  [BUGGY]  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	456	456	4	replace	while(iterator.hasNext()  &&  rowData.contains(columnKey))  {	while  (iterator.hasNext())  {  	non-compiled	[CE]  cannot  find  symbol  rowData	21	None	replace
454	[BUG]  [BUGGY]  while(iterator.hasNext()  &&  columnKey.equalsIgnoreCase(this.columnKeys))  {  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  [BUGGY]  while(iterator.hasNext()  &&  columnKey.equalsIgnoreCase(this.columnKeys))  {  [BUGGY]  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	456	456	4	replace	while(iterator.hasNext()  &&  columnKey.equalsIgnoreCase(this.columnKeys))  {	while  (iterator.hasNext())  {  	non-compiled	[CE]  cannot  find  symbol	21	None	replace
485	[BUG]  [BUGGY]    Validate.notEmpty(key);  this.values.removeValue(key);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]    Validate.notEmpty(key);  this.values.removeValue(key);  [BUGGY]  int  index  =  getIndex(key);  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	    Validate.notEmpty(key);  this.values.removeValue(key);		non-compiled	[CE]  cannot  find  symbol  Validate	10	None	add
512	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]  if(this.keys!=  null)  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	add	if(this.keys!=  null)  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  }	this.keys.remove(index);  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	1	4
513	[BUG]  [BUGGY]  if(this.keys!=  null)  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  }  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]  if(this.keys!=  null)  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	if(this.keys!=  null)  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  }	this.keys.remove(index);  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	1	4	replace
513	[BUG]  [BUGGY]  if(this.keys!=  null)  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  >>  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]  if(this.keys!=  null)  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  >>  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	if(this.keys!=  null)  {  this.keys.remove(index);  }  else  {  this.values.remove(index);  >>	this.keys.remove(index);  	non-compiled	[CE]  illegal  start  of  expression	1	None	replace
514	[BUG]  [BUGGY]  if(this.keys!=  null)  {  this.keys.remove(index);  }  else  >>  this.values.remove(index);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  [BUGGY]  if(this.keys!=  null)  {  this.keys.remove(index);  }  else  >>  this.values.remove(index);  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	316	316	4	replace	if(this.keys!=  null)  {  this.keys.remove(index);  }  else  >>  this.values.remove(index);  }	this.keys.remove(index);  	non-compiled	[CE]  illegal  start  of  expression	1	None	replace
541	[BUG]  [BUGGY]    final  int  i  =  this.values.size();  [CE]  variable  i  is  already  defined  in  method  rebuildIndex()  [CONTEXT]  private  void  rebuildIndex  ()  {  [BUGGY]    final  int  i  =  this.values.size();  [BUGGY]  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	299	299	4	replace	    final  int  i  =  this.values.size();		non-compiled	[CE]  variable  i  is  already  defined  in  method  rebuildIndex()	38	None	add
542	[BUG]  [BUGGY]    final  Map.Entry  <  K,  V>  indexMap  =(Map)this.values.entrySet().iterator().next();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  private  void  rebuildIndex  ()  {  [BUGGY]    final  Map.Entry  <  K,  V>  indexMap  =(Map)this.values.entrySet().iterator().next();  [BUGGY]  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	299	299	4	replace	    final  Map.Entry  <  K,  V>  indexMap  =(Map)this.values.entrySet().iterator().next();		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	38	None	add
543	[BUG]  [BUGGY]    Validate.notNull(this);  Validate.notNull(this.values);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  private  void  rebuildIndex  ()  {  [BUGGY]    Validate.notNull(this);  Validate.notNull(this.values);  [BUGGY]  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	299	299	4	replace	    Validate.notNull(this);  Validate.notNull(this.values);		non-compiled	[CE]  cannot  find  symbol  Validate	38	None	add
544	[BUG]  [BUGGY]    Validate.notNull(values);  [CE]  cannot  find  symbol  Validate  [CONTEXT]  private  void  rebuildIndex  ()  {  [BUGGY]    Validate.notNull(values);  [BUGGY]  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	299	299	4	replace	    Validate.notNull(values);		non-compiled	[CE]  cannot  find  symbol  Validate	38	None	add
545	[BUG]  [BUGGY]    final  Map.Entry  <  K,  V>  indexMap  =  map.entrySet().iterator().next();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  private  void  rebuildIndex  ()  {  [BUGGY]    final  Map.Entry  <  K,  V>  indexMap  =  map.entrySet().iterator().next();  [BUGGY]  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	299	299	4	replace	    final  Map.Entry  <  K,  V>  indexMap  =  map.entrySet().iterator().next();		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	38	None	add
572	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =  getValue(i);  indexMap.put(key,  value);  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	add	    final  Object  value  =  getValue(i);  indexMap.put(key,  value);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	44	4
573	[BUG]  [BUGGY]    final  Object  value  =  getValue(i);  indexMap.put(key,  value);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =  getValue(i);  indexMap.put(key,  value);  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    final  Object  value  =  getValue(i);  indexMap.put(key,  value);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	44	4	add
573	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =  this.values.get(i);  indexMap.put(key,  value);  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	add	    final  Object  value  =  this.values.get(i);  indexMap.put(key,  value);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	44	4
574	[BUG]  [BUGGY]    final  Object  value  =  this.values.get(i);  indexMap.put(key,  value);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =  this.values.get(i);  indexMap.put(key,  value);  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    final  Object  value  =  this.values.get(i);  indexMap.put(key,  value);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	44	4	add
574	[BUG]  [BUGGY]    final  Object  value  =((  Object)key).getValue();  [CE]  cannot  find  symbol  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =((  Object)key).getValue();  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    final  Object  value  =((  Object)key).getValue();		non-compiled	[CE]  cannot  find  symbol	44	None	add
575	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =  getValue(i);  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	add	    final  Object  value  =  getValue(i);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	44	4
576	[BUG]  [BUGGY]    final  Object  value  =  getValue(i);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =  getValue(i);  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    final  Object  value  =  getValue(i);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	44	4	add
602	[BUG]  [BUGGY]  int  index  =  getIndex(key).indexOf('n');  [CE]  int  cannot  be  dereferenced  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  getIndex(key).indexOf('n');  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	int  index  =  getIndex(key).indexOf('n');	int  index  =  getIndex(key);  	non-compiled	[CE]  int  cannot  be  dereferenced	9	None	replace
604	[BUG]  [BUGGY]  int  index  =  getIndex(key).indexOf('  ')+  1;  [CE]  int  cannot  be  dereferenced  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  getIndex(key).indexOf('  ')+  1;  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	int  index  =  getIndex(key).indexOf('  ')+  1;	int  index  =  getIndex(key);  	non-compiled	[CE]  int  cannot  be  dereferenced	9	None	replace
